"","SampleID","Date","Time","WaterType","Location","Latitude","Longitude","Sample n","d18O","d18Osd","dD","dDsd","Dexcess"
"73","MSTI004",2019-09-27,NA,"Lake","Tulu Bor Delta",4.1786,36.2367,1,5.22,NA,37.26,NA,-4.5
"74","L004",2016-10-04,NA,"Lake","Koobi Fora Field Camp",3.9479,36.1863,1,5.32,NA,39.2,NA,-3.36
"75","L04",2017-02-15,17:00:00,"Lake","Koobi Fora Field Camp",3.9479,36.1863,1,5.54,NA,38.99,NA,-5.33
"76","L19",2018-02-14,17:00:00,"Lake","Koobi Fora Field Camp",3.9479,36.1863,1,5.42,NA,38.91,NA,-4.45
"77","L24",2018-07-06,NA,"Lake","Koobi Fora Field Camp",3.9496,36.1861,1,5.88,NA,39.65,NA,-7.39
"78","MSTI007",2019-10-02,NA,"Lake","Koobi Fora Museum ",3.8809,36.3257,1,5.19,NA,37.33,NA,-4.19
"79","L07",2017-03-26,17:00:00,"Lake","Nariokotome",4.1072,35.9174,1,5.63,NA,40.11,NA,-4.93
"80","L21",2018-03-22,16:00:00,"Lake","Nariokotome",4.1072,35.9174,1,4.76,NA,35.85,NA,-2.23
"81","MSTI013",2020-01-18,NA,"Lake","Topernawi",3.7946,35.8538,1,4.71,NA,32.22,NA,-5.46
"82","L08",2017-03-25,15:00:00,"Lake","Eliye Springs",3.2534,36.0204,2,5.46,0.07,39.88,0.44,-3.8
"83","L22",2018-03-23,14:00:00,"Lake","Eliye Springs",3.2534,36.0204,1,5.02,NA,36.45,NA,-3.71
"84","MSTI015",2020-01-22,NA,"Lake","Kerio River Delta",3.0128,36.1198,1,2.2,NA,13.95,NA,-3.65
"85","L13",2017-06-24,18:00:00,"Restricted Lake","Omo River Delta",4.4591,36.2111,1,7.92,NA,49.79,NA,-13.57
"86","L002",2016-09-30,NA,"Restricted Lake","Il Eeriet Delta",4.2889,36.2058,1,6,NA,41.13,NA,-6.87
"87","L17",2018-02-09,11:00:00,"Restricted Lake","Kale Beach",4.2572,36.2225,1,6.27,NA,43.17,NA,-6.99
"88","MSTI002",2019-09-22,NA,"Restricted Lake","Kale Beach",4.2611,36.2235,1,9.68,NA,54.7,NA,-22.74
"89","MSTI005",2019-09-27,NA,"Restricted Lake","Tulu Bor Delta",4.1786,36.2367,1,5.67,NA,38.52,NA,-6.84
"90","E01",2017-07-03,22:30:00,"Evaporated Surface","TBI-Ileret",4.2865,36.1343,1,4.52,NA,22.2,NA,-13.96
"91","E02",2018-07-04,09:00:00,"Evaporated Surface","TBI-Ileret",4.2865,36.1343,1,6.14,NA,24.98,NA,-24.14
"92","E03",2018-07-19,15:00:00,"Evaporated Surface","TBI-Ileret",4.2865,36.1343,1,5.03,NA,20.55,NA,-19.69
"93","BW01",2018-08-06,NA,"Evaporated Surface","TBI-Ileret",4.2865,36.1343,1,7.34,NA,31.21,NA,-27.51
"94","BW02",2018-10-04,NA,"Evaporated Surface","TBI-Ileret",4.2865,36.1343,1,10.67,NA,45.45,NA,-39.91
"95","BW03",2018-11-04,NA,"Evaporated Surface","TBI-Ileret",4.2865,36.1343,1,7.96,NA,33.91,NA,-29.77
"96","BW04",2018-12-04,NA,"Evaporated Surface","TBI-Ileret",4.2865,36.1343,1,7.68,NA,32.96,NA,-28.48
"97","BW05",2019-01-04,NA,"Evaporated Surface","TBI-Ileret",4.2865,36.1343,1,4.56,NA,32.51,NA,-3.97
"98","BW06",2019-04-01,NA,"Evaporated Surface","TBI-Ileret",4.2865,36.1343,1,8.97,NA,39.62,NA,-32.14
"99","BW07",2019-04-04,NA,"Evaporated Surface","TBI-Ileret",4.2865,36.1343,1,6.12,NA,31.29,NA,-17.67
