SampleID,Date,Time,WaterType,Location,Latitude,Longitude,SurfaceTempC,Sample n,d18O,d18Osd,dD,dDsd,Dexcess
L08,2017-03-25,15:00,Lake,Eliye Springs,3.2534,36.0204,NA,2,5.46,0.07,39.88,0.44,-3.8
L22,2018-03-23,14:00,Lake,Eliye Springs,3.2534,36.0204,NA,1,5.02,NA,36.45,NA,-3.71
MSTI015,2020-01-22,NA,Lake,Kerio River Delta,3.0128,36.1198,NA,1,2.2,NA,13.95,NA,-3.65
L13,2017-06-24,18:00,Restricted Lake,Omo River Delta,4.4591,36.2111,NA,1,7.92,NA,49.79,NA,-13.57
L002,2016-09-30,NA,Restricted Lake,Il Eeriet Delta,4.2889,36.2058,NA,1,6,NA,41.13,NA,-6.87
L17,2018-02-09,11:00,Restricted Lake,Kale Beach,4.2572,36.2225,NA,1,6.27,NA,43.17,NA,-6.99
MSTI002,2019-09-22,NA,Restricted Lake,Kale Beach,4.2611,36.2235,NA,1,9.68,NA,54.7,NA,-22.74
MSTI005,2019-09-27,NA,Restricted Lake,Tulu Bor Delta,4.1786,36.2367,NA,1,5.67,NA,38.52,NA,-6.84
E01,2017-07-03,22:30,Evaporated Surface,TBI-Ileret,4.2865,36.1343,NA,1,4.52,NA,22.2,NA,-13.96
E02,2018-07-04,9:00,Evaporated Surface,TBI-Ileret,4.2865,36.1343,NA,1,6.14,NA,24.98,NA,-24.14
E03,2018-07-19,15:00,Evaporated Surface,TBI-Ileret,4.2865,36.1343,NA,1,5.03,NA,20.55,NA,-19.69
BW01,2018-08-06,NA,Evaporated Surface,TBI-Ileret,4.2865,36.1343,NA,1,7.34,NA,31.21,NA,-27.51
BW02,2018-10-04,NA,Evaporated Surface,TBI-Ileret,4.2865,36.1343,NA,1,10.67,NA,45.45,NA,-39.91
BW03,2018-11-04,NA,Evaporated Surface,TBI-Ileret,4.2865,36.1343,NA,1,7.96,NA,33.91,NA,-29.77
BW04,2018-12-04,NA,Evaporated Surface,TBI-Ileret,4.2865,36.1343,NA,1,7.68,NA,32.96,NA,-28.48
BW05,2019-01-04,NA,Evaporated Surface,TBI-Ileret,4.2865,36.1343,NA,1,4.56,NA,32.51,NA,-3.97
BW06,2019-04-01,NA,Evaporated Surface,TBI-Ileret,4.2865,36.1343,NA,1,8.97,NA,39.62,NA,-32.14
BW07,2019-04-04,NA,Evaporated Surface,TBI-Ileret,4.2865,36.1343,NA,1,6.12,NA,31.29,NA,-17.67
BW08,2019-09-04,NA,Evaporated Surface,TBI-Ileret,4.2865,36.1343,NA,1,7.45,NA,33.72,NA,-25.88
MSTI011,2020-01-16,NA,Evaporated Surface,Topernawi,3.8510,35.7237,NA,1,-3.68,NA,-26.82,NA,2.62
G05,2017-05-28,9:00,Deep Ground,Ileret,4.3261,36.2228,NA,1,-0.12,NA,-2.33,NA,-1.37
G04,2017-05-28,8:30,Deep Ground,Ileret,4.2968,36.2184,NA,1,2.42,NA,3.94,NA,-15.42
G07,2017-06-21,10:30,Deep Ground,Karari,4.1849,36.4816,NA,1,-2.23,NA,-11.9,NA,5.94
T001,2016-10-06,NA,Deep Ground,TBI-Ileret,4.1719,36.1540,NA,1,3.11,NA,-11.14,NA,-36.02
T01,2017-03-08,22:00,Deep Ground,TBI-Ileret,4.1719,36.1540,NA,1,3.23,NA,-9.02,NA,-34.86
T04,2017-05-26,22:00,Deep Ground,TBI-Ileret,4.1719,36.1540,NA,1,3.05,NA,-12.83,NA,-37.23
T03,2017-03-29,23:00,Deep Ground,TBI-Turkwel,3.0829,35.5150,NA,1,-2.46,NA,-8.4,NA,11.28
MSTI017,2020-01-22,NA,Deep Ground,TBI-Turkwel,3.1410,35.8655,NA,1,-1.84,NA,-5.02,NA,9.7
MSTI014,2020-01-22,NA,Deep Ground,Lothagam,2.9499,36.0864,NA,1,18.95,NA,19.68,NA,-131.92
G06,2017-05-28,10:30,Shallow Ground,Il Eeriet,4.3211,36.2267,NA,1,-4.76,NA,-27.17,NA,10.91
G01,2017-01-31,10:00,Shallow Ground,Il Nitirwa,4.2163,36.3067,NA,1,-1.33,NA,-6.83,NA,3.81
G02,2017-02-10,10:30,Shallow Ground,Il Kimere,4.1917,36.2342,NA,1,-0.35,NA,-1.56,NA,1.24
G03,2017-03-18,18:30,Shallow Ground,TBI-Turkwel,3.0829,35.5150,NA,1,2.25,NA,14.92,NA,-3.08
G08,2017-07-05,17:30,Shallow Ground,TBI-Turkwel,3.0829,35.5150,NA,1,0.28,NA,5.7,NA,3.46
MSTW-21-01,2021-07-04,14:00,River,TBI-Turkwel,3.1420,35.8620,34.6,1,-1.14,NA,-0.6,NA,8.57
MSTW-21-02,2021-07-05,9:00,River,TBI-Turkwel,3.1425,35.8622,25.3,1,-1.21,NA,0.0,NA,9.73
MSTW-21-03,2021-07-05,9:30,Ground,Turkwel River well,3.1449,35.8618,NA,1,-1.22,NA,1.9,NA,11.60
MSTW-21-04,2021-07-05,10:50,River Delta,Turkwel River delta,3.0976,36.1320,29.4,1,-0.61,NA,3.5,NA,8.35
MSTW-21-05,2021-07-05,11:15,River Delta,Turkwel River delta,3.1026,36.1433,29,1,-0.64,NA,3.2,NA,8.28
MSTW-21-06,2021-07-05,11:30,River Delta,Turkwel River delta,3.1039,36.1446,29.7,1,-0.61,NA,3.4,NA,8.32
MSTW-21-07,2021-07-05,11:45,River Delta,Turkwel River delta,3.1096,35.1479,30.9,1,-0.58,NA,3.6,NA,8.21
MSTW-21-08,2021-07-05,12:00,Lake,Turkwel River delta,3.1100,36.1482,31.5,1,-0.55,NA,3.6,NA,8.04
MSTW-21-09,2021-07-05,16:00,Lake,Eliye Springs Resort,3.2537,36.0208,30.5,1,5.07,NA,40.3,NA,-0.26
MSTW-21-10,2021-07-05,16:00,Spring,Eliye Springs Resort,3.2524,36.0207,37,1,-2.67,NA,-4.5,NA,16.91
MSTW-21-11,2021-07-06,17:00,River,TBI-Turkwel,3.1420,35.8620,30.6,1,-1.17,NA,0.8,NA,10.13
MSTW-21-12,2021-07-07,15:00,Ground ,TBI-Turkwel ,3.1420,35.8620,NA,1,-1.32,NA,3.2,NA,13.78
MSTW-21-13,2021-07-07,18:00,River,TBI-Turkwel,3.1420,35.8621,NA,1,-0.90,NA,2.3,NA,9.54
MSTW-21-14,2021-07-11,16:00,Ground ,Lothagam ,2.9352,36.0593,30.2,1,-3.35,NA,-21.0,NA,5.79
MSTW-21-15,2021-07-12,13:00,Ground,Lothagam borehole,2.9414,36.0281,NA,1,1.36,NA,14.4,NA,3.49
MSTW-21-16,2021-07-13,16:00,Surface,Nabwal Arangan water hole,2.8966,36.0636,NA,1,-0.81,NA,-13.3,NA,-6.77
MSTW-21-17,2021-07-15,9:00,Ground,Lothagam ,2.9274,36.0581,NA,1,-5.71,NA,-33.1,NA,12.56
MSTW-21-18,2021-07-19,7:00,River,TBI-Turkwel,3.1420,35.8621,NA,1,1.43,NA,9.5,NA,-1.96
